"","status","family","pval","qval","gene_short_name","num_cells_expressed"
"GBP5","OK","negbinomial.size",5.85477090633389e-31,5.90556965390355e-29,"GBP5",86
"MDK","OK","negbinomial.size",6.71461294357486e-31,6.7234350627708e-29,"MDK",853
"APOL1","OK","negbinomial.size",8.16892790716173e-31,8.12038790075685e-29,"APOL1",353
"RPL8","OK","negbinomial.size",1.01369937222074e-30,1.00042647396577e-28,"RPL8",1172
"KRT18","OK","negbinomial.size",1.20005348133783e-30,1.17588097549945e-28,"KRT18",336
"FOS","OK","negbinomial.size",3.38208209843217e-30,3.29045405860231e-28,"FOS",1100
"RPS4X","OK","negbinomial.size",7.37637374696663e-30,7.1259926099217e-28,"RPS4X",1183
"S100A14","OK","negbinomial.size",8.41390149286931e-30,8.07146158595673e-28,"S100A14",208
"ADIRF","OK","negbinomial.size",9.07664525129495e-30,8.64676524703223e-28,"ADIRF",712
"CXCL13","OK","negbinomial.size",1.37666015339437e-29,1.30241544719062e-27,"CXCL13",25
"ITGB1","OK","negbinomial.size",1.45601879843363e-29,1.36805930663785e-27,"ITGB1",1120
"ZFP36","OK","negbinomial.size",4.20448379272531e-29,3.92361283459903e-27,"ZFP36",852
"SYNPO2","OK","negbinomial.size",5.15143597752733e-29,4.77482423917026e-27,"SYNPO2",842
"RPL18A","OK","negbinomial.size",8.08886983510358e-29,7.4471890199967e-27,"RPL18A",1192
"APOL6","OK","negbinomial.size",8.92376312176046e-29,8.16107883362067e-27,"APOL6",574
"RPS15A","OK","negbinomial.size",1.32399795412561e-28,1.20282145262881e-26,"RPS15A",1191
"IFI44L","OK","negbinomial.size",2.04311562568801e-28,1.84391185218343e-26,"IFI44L",148
"KRT16","OK","negbinomial.size",2.19066321837812e-28,1.96415150520987e-26,"KRT16",151
"S100A6","OK","negbinomial.size",2.49030285943547e-28,2.2183100406322e-26,"S100A6",1178
"RPL3","OK","negbinomial.size",2.72369258193327e-28,2.41055579606198e-26,"RPL3",1188
"LAP3","OK","negbinomial.size",2.77813077564025e-28,2.44297422950211e-26,"LAP3",521
"TXN","OK","negbinomial.size",4.16783924935527e-28,3.64168272755768e-26,"TXN",1060
"RPS7","OK","negbinomial.size",9.17350709675677e-28,7.96469432615882e-26,"RPS7",1179
"SPP1","OK","negbinomial.size",2.08511438392851e-27,1.79896849803342e-25,"SPP1",72
"RGS5","OK","negbinomial.size",3.14905296375889e-27,2.69991928480278e-25,"RGS5",571
"RPS3","OK","negbinomial.size",5.1521918260902e-27,4.38992344536059e-25,"RPS3",1192
"IFITM1","OK","negbinomial.size",5.60077906407397e-27,4.7426843951214e-25,"IFITM1",969
"GNLY","OK","negbinomial.size",9.81184867532991e-27,8.25760368884514e-25,"GNLY",100
"C15orf48","OK","negbinomial.size",1.23136689576388e-26,1.02999335829811e-24,"C15orf48",98
"ALCAM","OK","negbinomial.size",2.68925893171039e-26,2.23583357728504e-24,"ALCAM",284
"WARS1","OK","negbinomial.size",3.72510589637037e-26,3.07837365580776e-24,"WARS1",330
"ESR1","OK","negbinomial.size",5.69421326194023e-26,4.67743817528719e-24,"ESR1",645
"RPS14","OK","negbinomial.size",1.00700514790881e-25,8.22267655893636e-24,"RPS14",1187
"TNFSF10","OK","negbinomial.size",1.34520235861303e-25,1.09192224588483e-23,"TNFSF10",542
"PGF","OK","negbinomial.size",2.03499415805902e-25,1.64212058001492e-23,"PGF",306
"RPL26","OK","negbinomial.size",4.04875250386799e-25,3.24799923088076e-23,"RPL26",1193
"GBP4","OK","negbinomial.size",4.48010511004119e-25,3.57314429648518e-23,"GBP4",332
"HSPA5","OK","negbinomial.size",5.15890128696462e-25,4.09074033841506e-23,"HSPA5",940
"RPS23","OK","negbinomial.size",1.36260277185062e-24,1.07426349564637e-22,"RPS23",1191
"COL12A1","OK","negbinomial.size",1.41077924628491e-24,1.10588969717351e-22,"COL12A1",861
"KRT6C","OK","negbinomial.size",2.062297509642e-24,1.6074202975721e-22,"KRT6C",126
"HSPA1B","OK","negbinomial.size",5.60104696556994e-24,4.3409696199824e-22,"HSPA1B",824
"TNFSF13B","OK","negbinomial.size",1.00072982051181e-23,7.71236611111293e-22,"TNFSF13B",141
