,p_val,avg_logFC,pct.1,pct.2,p_val_adj
HSPA9,0.339839745759982,0.0441751179701297,0.561,0.536,1
SNU13,0.339875208494322,-0.0348871203311018,0.834,0.868,1
FCGRT,0.340137984409689,-0.0488989047637938,0.875,0.893,1
CTSO,0.34043339587128,-0.039078964713554,0.399,0.424,1
AADAT,0.340452415958591,0.012918264455595,0.072,0.058,1
NOL10,0.340593225266741,0.0208990940502036,0.173,0.153,1
PRRT2,0.34063882776716,0.0125616083013672,0.153,0.134,1
FAM174A,0.340748469185578,0.0162638172659122,0.228,0.203,1
GRM8,0.340778156205324,-0.00950038089910944,0.018,0.026,1
CHST14,0.340795819801105,0.0209167984400076,0.176,0.157,1
MSH3,0.340959853543421,0.0144770217820281,0.283,0.256,1
ITGA1,0.341076409091244,0.00575233595482294,0.371,0.345,1
TRAP1,0.341147785293473,0.0289897248957982,0.18,0.16,1
FAM199X,0.341386272064705,0.0136398166717668,0.216,0.193,1
C1RL,0.341418755181704,0.00356249257993352,0.313,0.279,1
RSPH3,0.341462369615791,-0.0142553467853038,0.078,0.094,1
QTRT2,0.341641464793192,0.0171216333346048,0.121,0.104,1
BORCS6,0.34174536850276,-0.022351917927783,0.111,0.129,1
LETMD1,0.341770080943084,0.0252963973606437,0.301,0.279,1
CCL5,0.341787203850854,0.318700872090926,0.205,0.19,1
TTC4,0.341802305053663,0.00365898314532458,0.073,0.059,1
TEAD4,0.341807631298743,0.0144674514424243,0.075,0.061,1
TP53RK,0.342025265530869,0.0070119768873087,0.263,0.236,1
CX3CL1,0.342041012762913,0.0175382570145901,0.191,0.17,1
XPOT,0.342154623326898,0.0251576127352338,0.226,0.205,1
CST2,0.34227293246551,0.0341857799662641,0.1,0.084,1
GTF2H1,0.342680439387048,0.0237492772316884,0.24,0.216,1
POLR3F,0.342750122673398,-0.0192396218559833,0.07,0.084,1
PTH1R,0.342780734705676,0.0229617659500397,0.21,0.188,1
STX12,0.342884734067757,0.0293384607319393,0.334,0.31,1
URM1,0.342991596214157,-0.0509915583954333,0.263,0.279,1
CHST2,0.34312715161307,-0.0354763416617062,0.131,0.149,1
ADGRL3,0.3431619724586,-0.0160865852871792,0.012,0.018,1
GLUL,0.343230444058718,0.0660406585838018,0.729,0.762,1
TMEM158,0.343627181912604,0.0517176920707484,0.235,0.213,1
MTSS1,0.343730897985206,-0.00624304902880297,0.018,0.026,1
C1GALT1,0.343896520133332,0.00828505153410694,0.18,0.157,1
FGGY,0.343936636532035,-0.0101486501547313,0.065,0.079,1
ZBTB25,0.34399950587443,0.0139993527975455,0.148,0.129,1
ST3GAL1,0.344017259426513,0.00165812204649785,0.21,0.185,1
YEATS4,0.344083350173379,0.0195211248010328,0.161,0.142,1
TRAM1,0.344087925873754,0.0367347130021908,0.777,0.79,1
PRDX1,0.344444915676063,-0.0332268774697428,0.963,0.97,1
CPT1C,0.344496428523819,0.00979221082467806,0.097,0.081,1
ZNF250,0.344550372527742,0.0201899540404251,0.108,0.092,1
TMA16,0.344602381814084,0.00355691033816097,0.324,0.292,1
MUC16,0.34461846538002,-0.10350635445401,0.042,0.053,1
RTF2,0.344662144756874,-0.0229279420481033,0.597,0.644,1
TCTN2,0.344697709202967,0.0162405429752215,0.043,0.033,1
FAP,0.344868782897442,0.0879460694077586,0.589,0.596,1
ZNF213,0.344890149068972,-0.0150260273343403,0.053,0.066,1
COG3,0.345065763619824,0.017082762237636,0.123,0.106,1
METTL1,0.345108837832866,0.00680027026652752,0.111,0.094,1
SERPINB4,0.345166322491461,-0.00965883916744734,0.098,0.114,1
GBP2,0.345337445167388,0.0490692023865492,0.393,0.361,1
CCDC32,0.345526117757402,0.0148167533973219,0.238,0.215,1
MMP24OS,0.34594250759856,0.0224851809132218,0.384,0.355,1
ANP32B,0.345986737828421,0.013976586533895,0.822,0.845,1
PIP4K2C,0.346152539838212,-0.00886267962667159,0.05,0.063,1
ECT2,0.34618267248008,-0.0068897464851283,0.083,0.068,1
PTP4A3,0.346242895746148,0.0160671919761618,0.145,0.125,1
RAB35,0.346340966049727,0.0182779969316255,0.151,0.132,1
SLC22A18,0.346626867136791,0.00975672214556307,0.12,0.102,1
CKLF,0.346903903427726,-0.0133842687182685,0.379,0.34,1
PPARGC1B,0.346955470082074,0.00183341625261808,0.028,0.02,1
PPP1R3G,0.347069380645628,0.0115108607829894,0.03,0.021,1
TFG,0.347103520531281,0.0228272370338811,0.494,0.464,1
ORAI1,0.347339694587029,-0.033881933101481,0.211,0.229,1
CTNND1,0.347380048358231,0.0194739794519128,0.163,0.144,1
DCAKD,0.347588490127964,0.0113107724506437,0.095,0.079,1
KRT14,0.347605876568644,0.180843106060211,0.314,0.337,1
ZNF674,0.347696471124329,0.0131120922824228,0.03,0.021,1
ZNF408,0.347703569504042,0.0114346604370031,0.058,0.046,1
TICAM1,0.347732326909733,0.00671888050136185,0.057,0.045,1
CRACD,0.347792705987488,0.01144961113707,0.043,0.033,1
GBP5,0.34788879256525,-0.0407868424582903,0.062,0.074,1
PTMA,0.348114926505319,0.0132934092484795,1,1,1
CENPQ,0.348165739953631,0.00385045446624094,0.11,0.092,1
