"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"PODN",1.89594868525803e-06,0.132695035399099,0.275,0.163,0.0332208128630912
"SRSF2",1.92884091282871e-06,0.152730994085242,0.491,0.375,0.0337971504745847
"PARP9",1.98539064974398e-06,0.113280820477273,0.203,0.106,0.034788014964814
"DERL3",2.08664001455951e-06,0.142025314452258,0.117,0.045,0.0365621063351117
"PDGFC",2.11138795277018e-06,0.1299458952376,0.279,0.168,0.0369957397084391
"TWSG1",2.14096288787143e-06,0.132486636261898,0.405,0.283,0.0375139517212831
"GREM1",2.33382685211009e-06,0.288315317855528,0.173,0.087,0.0408933141026731
"ARL4C",2.35318398540839e-06,0.199516572682787,0.216,0.122,0.0412324897923259
"PSMB8",2.36181630296739e-06,0.17447167312275,0.387,0.275,0.0413837452605946
"TSN",2.61607675027572e-06,0.0897921058550833,0.18,0.089,0.0458388968183312
"XBP1",2.6915633419007e-06,0.139920935059891,0.376,0.26,0.0471615728767841
"H2AC19",2.70158710552495e-06,0.0383799049339447,0.047,0.007,0.0473372092630081
"RHOU",2.81607423017122e-06,0.0621562028211677,0.077,0.021,0.0493432526610601
"IER5",2.84688505057549e-06,0.130177956609363,0.221,0.122,0.0498831198561838
