,p_val,avg_logFC,pct.1,pct.2,p_val_adj
RNF13,0.708880008797891,0.00715618405119178,0.182,0.174,1
TMEM131,0.708969674320744,0.00368385107410846,0.191,0.182,1
CRPPA,0.709638613204952,-0.00454292598987174,0.045,0.05,1
ZNF512B,0.709638613204952,-0.00454292598987174,0.045,0.05,1
CTSL,0.710018832835707,0.0264599801665304,0.495,0.516,1
ZNF433,0.710508290015476,0.0042621192011259,0.027,0.024,1
MEX3B,0.71088297819687,-0.00830139010158738,0.106,0.113,1
SHFL,0.710975849354617,0.00127010684362489,0.25,0.263,1
AGK,0.711341930135598,0.00512875978525664,0.045,0.041,1
TRAPPC9,0.711341930135598,0.00512875978525664,0.045,0.041,1
GTF3C1,0.711350435559659,0.00728428735387013,0.14,0.149,1
CRNKL1,0.711393789177144,0.010234278579577,0.146,0.139,1
SURF6,0.711551751022461,0.0156115103785973,0.117,0.111,1
ZBTB22,0.711741919434585,-0.00190143347905287,0.034,0.038,1
PRPSAP1,0.711794556225459,0.00789739369986121,0.113,0.122,1
EID1,0.711796042149942,0.0329233661988197,0.838,0.913,1
PNPLA6,0.711895987647343,0.00617529023015236,0.052,0.047,1
GTF2E1,0.711922219848603,0.00335112852693233,0.027,0.024,1
HNRNPA1P48,0.712173177723711,-0.00555057217728989,0.077,0.083,1
IFT81,0.712385827920158,0.011028906416428,0.171,0.164,1
STMN3,0.712489874244261,-0.000933649442674933,0.205,0.216,1
CDKAL1,0.713228416033399,0.00190968099949805,0.059,0.064,1
MED15,0.713445359581943,0.00973193642771623,0.099,0.093,1
TBC1D15,0.713566043323789,0.00909337714378533,0.149,0.142,1
NR2C2AP,0.713765362035875,0.00654081900360425,0.052,0.047,1
SLC25A38,0.713844847197896,-0.00424171069975982,0.088,0.094,1
